level1	level2	marker	role	source	priority	note
progenitors	HSC_MPP	Hlf	positive	Charles_current	high	HSC/MPP stemness marker retained from current catalog
progenitors	HSC_MPP	Mecom	positive	Charles_current	high	HSC/MPP primitive marker
progenitors	HSC_MPP	Procr	positive	Charles_current	high	EPCR; primitive HSC marker
progenitors	HSC_MPP	Mpl	positive	Charles_current	medium	Thrombopoietin receptor
progenitors	HSC_MPP	Kit	positive	Charles_current	high	HSPC marker; also appears in some immature/cycling populations
progenitors	HSC_MPP	Ly6a	positive	Charles_current	high	Sca1/LSK marker
progenitors	HSC_MPP	Slamf1	positive	Charles_current	medium	CD150; HSC-enriched
progenitors	HSC_MPP	Adgrl4	positive	skull_immune_dotplot	medium	Used for hematopoietic stem cell in skull_immune
progenitors	MPP_LMPP	Flt3	positive	Charles_current	high	MPP/LMPP and DC progenitor-associated; interpret with DC markers
progenitors	MPP_LMPP	Cd34	positive	Charles_current	high	Progenitor-enriched
progenitors	MPP_LMPP	Dntt	positive	Charles_current	medium	Lymphoid priming
progenitors	MPP_LMPP	Il7r	positive	Charles_current	medium	Lymphoid priming
progenitors	CMP	Sox4	positive	skull_immune_dotplot	medium	Common myeloid progenitor marker in skull_immune
progenitors	CMP	Itga2b	positive	skull_immune_dotplot	medium	CMP/megakaryocyte-associated; interpret with megakaryocyte markers
progenitors	CMP	Gata2	positive	skull_immune_dotplot	medium	Progenitor/basophil-associated transcription factor
progenitors	CMP	Adgrg1	positive	skull_immune_dotplot	medium	Common myeloid progenitor marker in skull_immune
progenitors	GMP	Cd34	positive	Charles_current	high	Myeloid progenitor marker
progenitors	GMP	Fcgr3	positive	Charles_current	high	CD16; GMP/classical myeloid
progenitors	GMP	Fcgr2b	positive	Charles_current	medium	CD16/32-related
progenitors	GMP	Cebpa	positive	Charles_current	high	Myeloid transcription factor
progenitors	GMP	Mpo	positive	Charles_current	high	Myeloid/granulocyte priming
progenitors	GMP	Ctsg	positive	skull_immune_dotplot	high	Granulocyte-monocyte progenitor marker in skull_immune
progenitors	GMP	Prtn3	positive	skull_immune_dotplot	high	GMP/pro-neutrophil marker
progenitors	Neutrophil_primed_GMP	Fcnb	positive	skull_immune_dotplot	high	Neutrophil-primed GMP marker in skull_immune
progenitors	Neutrophil_primed_GMP	Camp	positive	skull_immune_dotplot	high	Neutrophil priming/maturation
progenitors	Neutrophil_primed_GMP	Anxa1	positive	skull_immune_dotplot	medium	Neutrophil-primed GMP marker in skull_immune
progenitors	Neutrophil_primed_GMP	Lcn2	positive	skull_immune_dotplot	high	Neutrophil maturation/inflammation marker
progenitors	Monocyte_primed_GMP	F13a1	positive	skull_immune_dotplot	high	Monocyte-primed GMP marker in skull_immune
progenitors	Monocyte_primed_GMP	Klf4	positive	skull_immune_dotplot	high	Monocyte lineage priming
progenitors	Monocyte_primed_GMP	Prc1	positive	skull_immune_dotplot	medium	Cell-cycle-associated monocyte-primed GMP marker
progenitors	Monocyte_primed_GMP	Nusap1	positive	skull_immune_dotplot	medium	Cell-cycle-associated monocyte-primed GMP marker
progenitors	Monocyte_primed_GMP	Top2a	positive	skull_immune_dotplot	medium	Use as cycling overlay, not lineage alone
neutrophil	Neutrophil_broad	S100a9	positive	skull_immune_dotplot	high	Broad neutrophil marker
neutrophil	Neutrophil_broad	S100a8	positive	skull_immune_dotplot	high	Broad neutrophil marker
neutrophil	Neutrophil_broad	Elane	positive	Charles_current	high	Granule enzyme; early neutrophil/GMP
neutrophil	Neutrophil_broad	Mpo	positive	Charles_current	high	Myeloperoxidase
neutrophil	Neutrophil_broad	Cebpe	positive	Charles_current	high	Granulocyte transcription factor
neutrophil	Neutrophil_broad	Csf3r	positive	Charles_current	high	G-CSF receptor
neutrophil	Neutrophil_broad	Retnlg	positive	Charles_current	high	Mature neutrophil-associated; strong in Charles r1.0 cluster 0
neutrophil	Pro_neutrophil	Mki67	positive	skull_immune_dotplot	medium	Proliferative pro-neutrophil marker; use with lineage markers
neutrophil	Pro_neutrophil	Top2a	positive	skull_immune_dotplot	medium	Proliferative pro-neutrophil marker; use with lineage markers
neutrophil	Pro_neutrophil	Cebpe	positive	skull_immune_dotplot	high	Pro-neutrophil/granulocyte marker
neutrophil	Pre_neutrophil	Ptma	positive	skull_immune_dotplot	medium	Pre-neutrophil marker in skull_immune
neutrophil	Pre_neutrophil	Rpl3	positive	skull_immune_dotplot	low	Ribosomal marker; weak specificity
neutrophil	Immature_neutrophil	Ngp	positive	skull_immune_dotplot	high	Immature neutrophil marker
neutrophil	Immature_neutrophil	Ltf	positive	skull_immune_dotplot	high	Immature neutrophil marker
neutrophil	Mature_neutrophil	Ccl6	positive	skull_immune_dotplot	high	Mature neutrophil marker
neutrophil	Mature_neutrophil	Cxcr2	positive	skull_immune_dotplot	high	Mature neutrophil marker
neutrophil	Mature_neutrophil	Mmp8	positive	Charles_r1_DE	high	Top DE in Charles r1.0 neutrophil-like cluster 0
neutrophil	Mature_neutrophil	Mmp9	positive	Charles_r1_DE	medium	Top DE in Charles r1.0 neutrophil-like cluster 0
monocyte	Monocyte_broad	Ccr2	positive	skull_immune_dotplot	high	Broad/classical monocyte marker
monocyte	Monocyte_broad	Fn1	positive	skull_immune_dotplot	medium	Monocyte marker in skull_immune
monocyte	Monocyte_broad	Hopx	positive	skull_immune_dotplot	medium	Monocyte marker in skull_immune
monocyte	Monocyte_broad	Csf1r	positive	Charles_current	high	M-CSF receptor
monocyte	Monocyte_broad	Ly6c2	positive	Charles_current	high	Classical monocyte marker
monocyte	Monocyte_broad	Lyz2	positive	Charles_current	medium	Myeloid/monocyte marker
monocyte	Monocyte_broad	Spic	positive	Charles_current	medium	Monocyte/macrophage-associated transcription factor
monocyte	Monocyte_progenitor	Stmn1	positive	skull_immune_dotplot	medium	Monocyte progenitor marker; use with cycling context
monocyte	Monocyte_progenitor	Mki67	positive	skull_immune_dotplot	medium	Proliferative monocyte progenitor marker
monocyte	Monocyte_progenitor	Ptma	positive	skull_immune_dotplot	low	Weak specificity
monocyte	Monocyte_progenitor	H2afz	positive	skull_immune_dotplot	medium	Progenitor/cycling-associated
monocyte	Classical_monocyte	Vcan	positive	skull_immune_dotplot	high	Classical monocyte marker
monocyte	Classical_monocyte	Ms4a8a	positive	skull_immune_dotplot	high	Classical monocyte marker
monocyte	Classical_monocyte	Chil3	positive	skull_immune_dotplot	medium	Classical/inflammatory myeloid marker
monocyte	Classical_monocyte	Cd14	positive	skull_immune_dotplot	high	Classical monocyte marker
monocyte	Nonclassical_monocyte	Cx3cr1	positive	skull_immune_dotplot	high	Non-classical monocyte marker
monocyte	Nonclassical_monocyte	Hpgd	positive	skull_immune_dotplot	medium	Non-classical monocyte marker
DC	DC_broad	Flt3	positive	skull_immune_dotplot	high	DC/progenitor marker; require Irf8 or subset markers
DC	DC_broad	Irf8	positive	skull_immune_dotplot	high	DC/monocyte transcription factor
DC	pDC	Siglech	positive	skull_immune_dotplot	high	pDC marker
DC	pDC	Ctsl	positive	skull_immune_dotplot	medium	pDC marker in skull_immune
DC	pDC	Bst2	positive	Charles_current	high	pDC marker
DC	cDC1	Ifi205	positive	skull_immune_dotplot	medium	cDC1 marker in skull_immune
DC	cDC1	Clec9a	positive	skull_immune_dotplot	high	cDC1 marker
DC	cDC1	Id2	positive	skull_immune_dotplot	medium	cDC1-associated transcription factor
DC	cDC1	Xcr1	positive	skull_immune_dotplot	high	cDC1 marker
DC	cDC1	Cadm1	positive	skull_immune_dotplot	medium	cDC1 marker
DC	cDC2	Tmem176b	positive	skull_immune_dotplot	medium	cDC2 marker; also stromal in skull_immune
DC	cDC2	Cd209a	positive	skull_immune_dotplot	high	cDC2 marker
DC	cDC2	Ifitm3	positive	skull_immune_dotplot	medium	cDC2/interferon-associated
DC	cDC2	Ciita	positive	skull_immune_dotplot	high	Antigen-presentation cDC2 marker
