cluster_key,cluster,n_cells,manual_level1,manual_level2,manual_annotation_confidence,manual_review_flag,manual_annotation_basis,top_final_cell_type_counts,top_popv_prediction_counts,top_scanvi_label_counts,top_population_counts,top_sample_id_counts
leiden_r1.0,0,6084,granulocyte_neutrophil,Mature_neutrophil,high,ok,Mmp8/Retnlg/Mmp9/S100a8/S100a9; I gate dominant,DCs:5433;Bas:224;Ery:211;Meg:118;Eos:79,LTHSC:2775;MPP:2731;GMP:361;CMP:136;LMPP:80,MPP:6084,I:6084,D2_STM_I_45_1:1361;D2_STM_I_45_2:1212;D1_STM_I_45_2:801;D2_DMSO_I_45_2:786;D1_STM_I_45_1:547
leiden_r1.0,1,4791,granulocyte_neutrophil,Mature_neutrophil,high,ok,Ccl6/Tyrobp/Csf3r/Cxcr2/Clec4d; I gate dominant,DCs:4161;Ery:301;Bas:167;LTHSC:100;MPP:22,LTHSC:3324;MPP:956;GMP:251;LMPP:187;CMP:71,MPP:4572;LMPP:184;MEP:35,I:4791,D2_STM_I_45_1:1050;D2_STM_I_45_2:860;D2_DMSO_I_45_2:617;D1_STM_I_45_2:612;D1_DMSO_I_45_1:478
leiden_r1.0,2,4291,myeloid_progenitor,GMP_neutrophil_primed,high,ok,Prtn3/Mpo/Elane/Ctsg/Plac8; azurophil granule program; Ltf/Ngp/Cxcr2 absent; LK gate,CMP:2849;GMP:566;Neu:534;DCs:178;LMPP:62,CMP:3117;GMP:969;LMPP:98;MPP:66;LTHSC:41,CMP:3921;LMPP:313;MEP:45;MPP:10;GMP:2,LK:3987;I:211;LSK:93,D1_STM_LK_45_2:979;D1_DMSO_LK_45_1:618;D2_DMSO_LK_45_1:534;D2_DMSO_LK_45_2:490;D2_STM_LK_45_1:469
leiden_r1.0,3,3963,progenitor,HSPC_MPP,medium,ieg_stress_artifact,"Hlf/Msi2/Meis1/Etv6/Angpt1/Adgrl4/Adgrg1 confirm HSPC identity vs full dataset; IEG stress (Fos/Jun/Egr1) pervasive in all cells — dissociation artifact, not a distinct state; LSK gate",LTHSC:1107;CMP:1042;MPP:820;LMPP:710;Ly:245,LTHSC:1129;CMP:1065;LMPP:939;MPP:822;GMP:6,LMPP:1770;MEP:1335;LTHSC:732;CMP:126,LSK:2468;LK:1481;I:14,D1_DMSO_LSK_45_1:870;D1_STM_LK_45_2:514;D2_STM_LSK_45_1:383;D1_STM_LSK_45_1:364;D2_STM_LSK_45_2:303
leiden_r1.0,4,3749,granulocyte_neutrophil,Immature_neutrophil,high,ok,Ltf/Anxa1/Ngp/Lcn2/Camp/Chil3; I gate dominant,DCs:3138;Neu:363;Eos:119;Bas:58;Meg:28,LTHSC:2809;MPP:864;GMP:63;CMP:10;LMPP:3,MPP:3749,I:3749,D2_STM_I_45_1:852;D2_STM_I_45_2:640;D1_STM_I_45_2:565;D2_DMSO_I_45_2:495;D1_STM_I_45_1:357
leiden_r1.0,5,2803,myeloid_progenitor,GMP_neutrophil_primed,high,ok,Mpo/Ctsg/Elane/Prtn3/Ms4a3; Ms4a3=high-confidence GMP marker; LK gate,Neu:1557;CMP:586;GMP:411;MPP:98;Eos:81,GMP:1881;CMP:759;MPP:105;LMPP:56;LTHSC:2,CMP:2608;LMPP:112;GMP:42;MEP:35;MPP:6,LK:2701;I:67;LSK:35,D1_DMSO_LK_45_1:603;D1_STM_LK_45_2:535;D1_STM_LK_45_1:439;D2_DMSO_LK_45_1:363;D2_STM_LK_45_1:314
leiden_r1.0,6,2691,myeloid_progenitor,Progenitor_ambiguous,low,ambiguous_cmp_mep_basophil,Gata2/Angpt1/Apoe; popV=CMP(59%)/MEP(22%)/Bas(6%); basophil level1 score 0.66 too weak; heterogeneous LK cluster; cannot resolve without subset reclustering,Ery:910;CMP:711;Meg:650;Bas:157;MPP:111,CMP:1571;MEP:574;LTHSC:340;MPP:162;GMP:37,MEP:2144;LTHSC:284;LMPP:226;CMP:33;GMP:4,LK:2408;LSK:228;I:55,D1_STM_LK_45_2:560;D2_STM_LK_45_1:383;D1_STM_LK_45_1:365;D2_DMSO_LK_45_1:364;D1_DMSO_LK_45_1:251
leiden_r1.0,7,2641,cycling_myeloid,Cycling_myeloid,high,ok,Tubb5/Tuba1b/Birc5/H2afx/Pclaf/Aurkb/Top2a; LK gate,CMP:1596;Neu:375;GMP:271;DCs:213;Ly:104,CMP:1850;GMP:597;LMPP:111;MPP:48;LTHSC:35,CMP:2459;LMPP:164;MEP:11;MPP:7,LK:2305;I:229;LSK:107,D1_DMSO_LK_45_1:535;D1_STM_LK_45_2:462;D2_DMSO_LK_45_1:351;D2_DMSO_LK_45_2:260;D2_STM_LK_45_1:251
leiden_r1.0,8,1670,cycling_myeloid,Cycling_myeloid,high,ok,Top2a/Mki67/Smc4/Kif11/Knl1; LK gate,CMP:708;Meg:334;MPP:217;Ery:164;LMPP:156,CMP:1156;MPP:245;LMPP:199;LTHSC:53;MEP:14,MEP:978;LMPP:382;LTHSC:188;CMP:120;MPP:2,LK:1081;LSK:584;I:5,D1_DMSO_LSK_45_1:282;D1_STM_LK_45_2:240;D1_DMSO_LK_45_1:182;D1_STM_LK_45_1:170;D2_STM_LK_45_1:161
leiden_r1.0,9,1542,granulocyte_neutrophil,Immature_neutrophil,high,ok,S100a9/Camp/S100a8/Ngp/Wfdc21/Ifitm6/Lcn2; I gate dominant,DCs:1056;Ery:329;Neu:62;Eos:30;Bas:26,LTHSC:1012;MPP:489;GMP:31;CMP:8;LMPP:2,MPP:1539;LTHSC:1;LMPP:1;MEP:1,I:1540;LSK:1;LK:1,D1_DMSO_I_45_1:304;D2_STM_I_45_1:250;D2_STM_I_45_2:200;D2_DMSO_I_45_2:184;D1_DMSO_I_45_2:183
leiden_r1.0,10,1297,progenitor,HSPC_MPP,medium,ok,Hlf/Mecom/Procr/Ly6a/Kit/Cd34 confirm HSC-MPP identity; cleaner signature than cluster 3 (no IEG stress); LSK gate,LTHSC:475;MPP:318;CMP:263;LMPP:170;Meg:31,LTHSC:481;MPP:325;CMP:289;LMPP:193;GMP:9,LMPP:639;LTHSC:355;MEP:262;CMP:38;MPP:3,LSK:993;LK:304,D1_DMSO_LSK_45_1:444;D2_STM_LSK_45_1:132;D1_STM_LSK_45_1:131;D2_DMSO_LSK_45_1:114;D2_STM_LSK_45_2:79
leiden_r1.0,11,1158,granulocyte_neutrophil,Mature_neutrophil,medium,inflammatory_review,Csf3r/Il1b/Tyrobp/Malat1; Il1b and Malat1 suggest inflammatory or low-quality mature neutrophil; I gate,DCs:993;LTHSC:106;LMPP:32;MPP:10;pDC:4,LTHSC:782;LMPP:278;MPP:75;GMP:11;CMP:11,LMPP:872;MPP:226;MEP:42;LTHSC:18,I:1157;LSK:1,D2_STM_I_45_1:266;D2_STM_I_45_2:181;D2_DMSO_I_45_2:158;D1_STM_I_45_2:145;D1_DMSO_I_45_1:138
leiden_r1.0,12,1096,monocyte,Classical_monocyte,high,ok,Ctss/S100a4/Psap/Ccr2/Ahnak/Pld4; Ccr2/Ly6c2 canonical classical monocyte; I gate,DCs:1057;CMP:12;LTHSC:9;GMP:6;Eos:3,LTHSC:795;CMP:125;GMP:82;LMPP:54;MPP:40,LMPP:982;MPP:51;LTHSC:31;CMP:31;MEP:1,I:1058;LK:29;LSK:9,D2_DMSO_I_45_2:393;D1_DMSO_I_45_2:388;D1_STM_I_45_2:169;D2_STM_I_45_2:56;D1_DMSO_I_45_1:30
leiden_r1.0,13,1062,erythroid,Erythroid_broad,medium,mep_vs_erythroblast_unresolvable,Car1/Blvrb/Car2/Klf1/Atpif1; clean erythroid program but MEP vs Erythroblast split not resolvable at r1.0 granularity (single cluster),Ery:1061;Ly:1,MEP:1029;CMP:23;LTHSC:9;LMPP:1,MEP:1060;LMPP:2,LK:1017;LSK:40;I:5,D1_STM_LK_45_1:224;D2_DMSO_LK_45_2:179;D1_STM_LK_45_2:168;D2_STM_LK_45_1:130;D2_DMSO_LK_45_1:124
leiden_r1.0,14,1041,granulocyte_neutrophil,Immature_neutrophil,high,ok,Hmgn2/Chil3/Camp/Fcnb/Hmgb2/Cebpe; Fcnb=neutrophil granule; I gate dominant,Neu:436;DCs:406;Meg:131;Ery:30;Eos:19,GMP:696;LTHSC:286;CMP:53;MPP:6,MPP:738;GMP:291;CMP:11;LTHSC:1,I:1028;LK:13,D2_DMSO_I_45_2:252;D1_STM_I_45_2:207;D2_STM_I_45_2:169;D1_DMSO_I_45_2:127;D2_STM_I_45_1:101
leiden_r1.0,15,807,B_cell,B_cell_broad,medium,b_cell_subtype_unresolvable,"Cd79a/Ighm/Ebf1/Bach2/Vpreb3/Pax5; Vpreb3 (pro-B) and H2-Aa (mature-B) co-present; Pro-Pre-B vs Mature-B NOT resolvable at r1.0 (single cluster, 807 cells)",LTHSC:531;LMPP:241;Ly:25;CMP:6;MPP:3,LTHSC:547;LMPP:249;CMP:7;MPP:3;MEP:1,LTHSC:342;MEP:249;LMPP:216,I:776;LK:24;LSK:7,D1_DMSO_I_45_2:722;D2_DMSO_I_45_2:49;D1_STM_LK_45_2:11;D2_STM_I_45_2:5;D1_DMSO_LK_45_2:4
leiden_r1.0,16,638,granulocyte_neutrophil,Immature_neutrophil,high,ok,Chil3/Camp/Ngp/S100a8/Orm1/Lcn2; I gate dominant,Neu:331;DCs:253;Eos:44;LTHSC:4;Ery:3,LTHSC:309;GMP:296;MPP:30;CMP:2;MEP:1,MPP:614;GMP:23;CMP:1,I:636;LK:2,D1_STM_I_45_2:118;D2_STM_I_45_2:115;D2_STM_I_45_1:91;D1_DMSO_I_45_2:77;D2_DMSO_I_45_2:74
leiden_r1.0,17,378,DC,DC_broad,medium,cdc1_cdc2_review,Cst3/Irf8/Ifi205/Cd74/Id2/H2-Aa; Ifi205/Id2 suggest cDC1-biased but Clec9a/Xcr1 absent from top DE; classify DC_broad,DCs:378,LTHSC:362;LMPP:9;MPP:4;CMP:3,LMPP:294;LTHSC:72;CMP:11;MPP:1,LK:328;LSK:28;I:22,D1_STM_LK_45_2:176;D1_DMSO_LK_45_1:42;D2_DMSO_LK_45_2:33;D2_DMSO_LK_45_1:22;D1_STM_LK_45_1:19
leiden_r1.0,18,314,T_cell,T_cell_broad,high,subtype_unresolvable,Tmsb10/Skap1/Ms4a4b/H2-Q7; T cell clear but CD4/CD8 absent from top DE; T cell subtype CANNOT be resolved at this depth,LTHSC:112;Ly:110;DCs:70;LMPP:12;Bas:5,LTHSC:266;LMPP:37;MPP:8;CMP:2;GMP:1,LMPP:256;MEP:38;LTHSC:17;MPP:3,I:299;LSK:13;LK:2,D1_DMSO_I_45_2:294;D1_DMSO_LSK_45_1:4;D1_STM_LSK_45_1:4;D2_DMSO_LSK_45_2:3;D2_DMSO_I_45_2:3
leiden_r1.0,19,119,ambiguous_myeloid,Ambiguous,low,lineage_unresolvable,Malat1/Arhgap15/Dock2/Baz2b/Elmo1; lymphoid-migration program in I gate; cannot assign canonical lineage,LTHSC:45;DCs:26;pDC:16;LMPP:11;MPP:8,LTHSC:91;LMPP:12;MPP:9;CMP:7,MPP:57;MEP:46;LTHSC:9;LMPP:7,I:89;LSK:26;LK:4,D1_DMSO_I_45_2:36;D1_STM_I_45_2:15;D1_STM_I_45_1:14;D2_DMSO_LSK_45_2:13;D2_STM_LSK_45_2:7
leiden_r1.0,20,115,DC,pDC,high,ok,Tcf4/Irf8/Bst2/Siglech; definitive pDC markers; I gate,pDC:107;DCs:6;Ly:2,LMPP:102;LTHSC:7;CMP:6,LMPP:109;LTHSC:5;CMP:1,I:114;LK:1,D1_DMSO_I_45_2:68;D2_DMSO_I_45_2:44;D1_STM_LK_45_2:1;D2_STM_I_45_2:1;D2_DMSO_I_45_1:1
