cell_type	marker	direction	category	source	note
HSC_MPP	Hlf	positive	HSPC	Nestorowa2016_Olsson2016_manual	HSC/MPP stemness-associated transcription factor
HSC_MPP	Mecom	positive	HSPC	Nestorowa2016_Olsson2016_manual	HSC/MPP enriched transcription factor
HSC_MPP	Procr	positive	HSPC	Nestorowa2016_Olsson2016_manual	EPCR, enriched in primitive HSCs
HSC_MPP	Mpl	positive	HSPC	Nestorowa2016_Olsson2016_manual	Thrombopoietin receptor
HSC_MPP	Kit	positive	HSPC	Nestorowa2016_Olsson2016_manual	c-Kit, HSPC gate marker
HSC_MPP	Ly6a	positive	HSPC	Nestorowa2016_Olsson2016_manual	Sca1, LSK gate marker
HSC_MPP	Slamf1	positive	HSPC	Nestorowa2016_Olsson2016_manual	CD150, HSC-enriched
MPP_LMPP	Flt3	positive	HSPC	Nestorowa2016_Olsson2016_manual	MPP/LMPP and lymphoid-primed progenitors
MPP_LMPP	Cd34	positive	HSPC	Nestorowa2016_Olsson2016_manual	Progenitor-enriched
MPP_LMPP	Dntt	positive	HSPC	Nestorowa2016_Olsson2016_manual	Lymphoid priming
MPP_LMPP	Il7r	positive	HSPC	Nestorowa2016_Olsson2016_manual	Lymphoid priming
CMP_GMP	Cd34	positive	Myeloid progenitor	Nestorowa2016_Olsson2016_manual	Myeloid progenitors
CMP_GMP	Fcgr3	positive	Myeloid progenitor	Nestorowa2016_Olsson2016_manual	CD16/32, GMP-enriched
CMP_GMP	Fcgr2b	positive	Myeloid progenitor	Nestorowa2016_Olsson2016_manual	CD16/32-related
CMP_GMP	Cebpa	positive	Myeloid progenitor	Nestorowa2016_Olsson2016_manual	Myeloid transcription factor
CMP_GMP	Mpo	positive	Myeloid progenitor	Nestorowa2016_Olsson2016_manual	Granulocyte/myeloid priming
MEP_Erythroid	Gata1	positive	Erythroid/MEP	Nestorowa2016_Olsson2016_manual	Erythroid/MEP transcription factor
MEP_Erythroid	Klf1	positive	Erythroid/MEP	Nestorowa2016_Olsson2016_manual	Erythroid transcription factor
MEP_Erythroid	Gypa	positive	Erythroid/MEP	Nestorowa2016_Olsson2016_manual	Erythroid surface marker
MEP_Erythroid	Car2	positive	Erythroid/MEP	Nestorowa2016_Olsson2016_manual	Erythroid maturation
MEP_Erythroid	Hba-a1	positive	Erythroid/MEP	Nestorowa2016_Olsson2016_manual	Hemoglobin alpha
MEP_Erythroid	Hbb-bs	positive	Erythroid/MEP	Nestorowa2016_Olsson2016_manual	Hemoglobin beta
Megakaryocyte	Pf4	positive	Megakaryocyte	Nestorowa2016_Olsson2016_manual	Platelet factor 4
Megakaryocyte	Itga2b	positive	Megakaryocyte	Nestorowa2016_Olsson2016_manual	CD41
Megakaryocyte	Vwf	positive	Megakaryocyte	Nestorowa2016_Olsson2016_manual	Megakaryocyte/endothelial-associated
